501,101,2026-03-01T12:00:00,CERRADO
502,102,2026-03-01T13:30:00,ABIERTO
503,103,2026-03-01T14:15:00,CANCELADO
504,1,2026-03-07 12:13:28,ABIERTO
505,1,2026-03-07 12:13:35,CERRADO
506,1,2026-03-07 12:15:23,CERRADO
507,1,2026-03-07 12:15:50,ABIERTO
508,1,2026-03-07 12:25:41,ABIERTO
509,2,2026-03-07 12:26:39,ABIERTO
510,1,2026-03-07 12:26:41,ABIERTO
511,1,2026-03-07 12:26:41,ABIERTO
512,2,2026-03-07 12:26:42,ABIERTO
513,3,2026-03-07 12:26:42,ABIERTO
514,2,2026-03-07 12:26:43,ABIERTO
515,3,2026-03-07 12:26:43,ABIERTO
516,6,2026-03-07 12:26:44,ABIERTO
517,8,2026-03-07 12:26:44,ABIERTO
518,6,2026-03-07 12:27:04,ABIERTO
519,3,2026-03-07 12:27:48,ABIERTO
520,1,2026-03-07 12:32:42,ABIERTO
